epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0803,0.82395,3.18183,1.19238,0.00687,1,0.41311,0.36264,0.39249,3.67612,0.91463,0.00020006,0.00020006,0.00020006
2,108.871,0.77514,2.68275,1.16511,0.00644,1,0.46288,0.39631,0.43177,3.61823,0.91928,0.000402688,0.000402688,0.000402688
3,167.093,0.90923,2.42021,1.23113,0.00401,1,0.39814,0.30647,0.51536,3.61322,1.00896,0.00059319,0.00059319,0.00059319
4,221.372,0.86943,2.24966,1.21057,0.40154,0.16729,0.28296,0.20698,0.77871,3.70557,1.25574,0.000771566,0.000771566,0.000771566
5,280.744,0.8754,2.18343,1.20076,0.3282,0.44441,0.32514,0.20396,0.97288,3.46594,1.58049,0.000937816,0.000937816,0.000937816
6,334.57,0.91499,2.05563,1.22236,0.38831,0.36456,0.33684,0.21343,1.13652,3.8095,1.71581,0.00109194,0.00109194,0.00109194
7,393.351,0.90711,1.94164,1.19485,0.08077,0.06641,0.01757,0.00425,3.50006,5.52142,6.16099,0.00118648,0.00118648,0.00118648
8,449.163,0.86042,1.79667,1.16292,0.21357,0.28971,0.23328,0.15734,1.57057,3.85147,1.8677,0.00114606,0.00114606,0.00114606
9,499.109,0.83091,1.81352,1.15862,0.32015,0.26639,0.20857,0.05973,2.01993,3.89694,2.71622,0.00110564,0.00110564,0.00110564
10,547.228,0.89814,1.7495,1.1804,0.36551,0.74287,0.46695,0.36569,0.71031,2.49674,1.15279,0.00106522,0.00106522,0.00106522
11,596.455,0.8028,1.71029,1.13573,0.49696,0.49961,0.53397,0.44176,0.66348,2.27762,1.0812,0.0010248,0.0010248,0.0010248
12,644.57,0.85015,1.62111,1.15986,0.49614,0.69965,0.67358,0.55798,0.62644,2.07868,1.03187,0.000984377,0.000984377,0.000984377
13,695.056,0.84702,1.57962,1.16347,0.59447,0.63061,0.55601,0.40448,0.73699,2.21798,1.09346,0.000943957,0.000943957,0.000943957
14,744.811,0.81934,1.52797,1.14274,0.56369,0.70298,0.57661,0.4565,0.65579,1.98394,1.04057,0.000903536,0.000903536,0.000903536
15,795.724,0.79466,1.5159,1.14664,0.57931,0.78509,0.68203,0.59919,0.4883,1.73316,0.94774,0.000863116,0.000863116,0.000863116
16,845.974,0.78881,1.47132,1.11351,0.5889,0.75345,0.7005,0.61767,0.54506,1.72786,0.96483,0.000822696,0.000822696,0.000822696
17,897.841,0.76207,1.4578,1.10031,0.44019,0.85912,0.6437,0.5732,0.50769,1.68007,0.94241,0.000782275,0.000782275,0.000782275
18,949.936,0.78712,1.38011,1.12871,0.67134,0.67136,0.64496,0.58038,0.50432,1.62041,0.94494,0.000741855,0.000741855,0.000741855
19,1002.57,0.75499,1.379,1.1232,0.60202,0.94703,0.76327,0.68444,0.46742,1.53677,0.93066,0.000701435,0.000701435,0.000701435
20,1058.7,0.72294,1.34396,1.11151,0.46276,0.78886,0.71651,0.6492,0.47332,1.83578,0.91833,0.000661015,0.000661015,0.000661015
21,1118.43,0.72083,1.30975,1.07648,0.59474,0.77346,0.73659,0.67261,0.44571,1.44761,0.90313,0.000620594,0.000620594,0.000620594
22,1178.27,0.68252,1.23751,1.0584,0.67677,0.77035,0.78167,0.71103,0.42504,1.34331,0.8903,0.000580174,0.000580174,0.000580174
23,1237.97,0.74437,1.27526,1.11338,0.69943,0.85734,0.83093,0.74876,0.42181,1.29522,0.88725,0.000539754,0.000539754,0.000539754
24,1291.1,0.63244,1.19246,1.05149,0.6181,0.86955,0.79403,0.70166,0.44221,1.43411,0.89406,0.000499333,0.000499333,0.000499333
25,1343.07,0.64564,1.20026,1.05213,0.5832,0.84111,0.76669,0.69052,0.43142,1.43046,0.89522,0.000458913,0.000458913,0.000458913
26,1401.12,0.44104,1.1053,0.91579,0.59462,0.73402,0.74071,0.68494,0.40116,1.62724,0.88391,0.000418493,0.000418493,0.000418493
27,1459.58,0.4395,1.10706,0.93114,0.83289,0.83893,0.86223,0.79794,0.36458,1.21054,0.85988,0.000378073,0.000378073,0.000378073
28,1519.21,0.39578,1.00573,0.89869,0.75937,0.91399,0.85662,0.79754,0.34746,1.09826,0.85145,0.000337652,0.000337652,0.000337652
29,1578.05,0.39677,0.96971,0.9195,0.74695,0.83894,0.8637,0.80936,0.34199,1.17601,0.84922,0.000297232,0.000297232,0.000297232
30,1634.05,0.38727,0.9501,0.87769,0.75656,0.87086,0.88865,0.84744,0.32288,1.04041,0.83769,0.000256812,0.000256812,0.000256812
31,1693.12,0.37135,0.88751,0.88856,0.78683,0.84077,0.89269,0.84744,0.31357,1.02097,0.83361,0.000216391,0.000216391,0.000216391
32,1749.78,0.3543,0.86307,0.87617,0.89009,0.8372,0.92885,0.88648,0.30059,0.91996,0.82353,0.000175971,0.000175971,0.000175971
33,1809.6,0.35158,0.8434,0.86743,0.76584,0.91007,0.92125,0.89261,0.30112,0.97826,0.82421,0.000135551,0.000135551,0.000135551
34,1868.84,0.33947,0.83429,0.87108,0.76792,0.91007,0.91592,0.8804,0.29432,0.98103,0.82502,9.51306e-05,9.51306e-05,9.51306e-05
35,1928.15,0.31538,0.79126,0.85109,0.7936,0.91405,0.9241,0.89071,0.28806,0.91712,0.8226,5.47103e-05,5.47103e-05,5.47103e-05
